"Author-Organisations","Title","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"Aardman Animations (Firm)","A grand day out","London","BBC","1999.","056338008X (pbk.)","010063175"
"Aardman Animations (Firm)","The bootiful game","London","Titan","2005.","1840239484 (pbk.)","013251379"
"Air Gallery.","KAK 77.","Birmingham","AR-ZAK The Arts Lab Press","[1977].","","013309720"
"American Bande Dessinée Society.","European comic art","Liverpool","Liverpool University Press","2008-","","013710646"
"American Bande Dessinée Society.","European comic art.","Liverpool","Liverpool University Press","2008-","","013710647"
"Amnesty International.","Drawing blood :cartoons for Amnesty International","London","Grub Street","c1994.","1898697108","008837915"
"Anderson & Low.","Manga dreams :a homage to the manga and anime creators and artists","[S.l.]","Lucky Panda Press","2010.","9780955899720 (pbk.);0955899729 (pbk.)","015770043"
"Anne Frank House.","The search :a graphic novel of courage and resistance brought to you by the Anne Frank House","London","Macmillan Children's","2011.","9780330519762 (pbk.);033051976X (pbk.)","015638677"
"Anne Frank House.","A family secret :a graphic novel of courage and resistance brought to you by the Anne Frank House","London","Macmillan Children's","2011.","9780330519823 (pbk.);0330519824 (pbk.)","015638678"
"Antique Collectors' Club.","Great mistakes of civilisation :mankind's mistakes and faux pas","Woodbridge","Antique Collectors' Club","c1996.","1851492461","011400327"
"Arcana Studio.","Hide and shriek!","London","Raintree","2012.","9781406237184 (pbk.);1406237183 (pbk.)","015885005"
"Arcana Studio.","The king of Halloween Castle","London","Raintree","2012.","9781406237191 (pbk.);1406237191 (pbk.)","015885006"
"Arcana Studio.","Lost in Spooky Forest","London","Raintree","2012.","9781406237207 (pbk.);1406237205 (pbk.)","015899587"
"Arcana Studio.","Monster Mansion","London","Raintree","2012.","9781406237214 (pbk.);1406237213 (pbk.)","015899588"
"Arcana Studio.","My missing monster","London","Raintree","2012.","9781406237221 (pbk.);1406237221 (pbk.)","015955919"
"Arcana Studio.","New monster in school","London","Raintree","2012.","9781406237238 (pbk.);140623723X (pbk.)","015955920"
"Arcana Studio.","Monster beach","London","Raintree","2012.","9781406242263 (pbk.);1406242268 (pbk.)","015964522"
"Arcana Studio.","The missing mummy","London","Raintree","2012.","9781406242270 (pbk.);1406242276 (pbk.)","015964523"
"Arcana Studio.","The toy snatcher","London","Raintree","2012.","9781406242300 (pbk.);1406242306 (pbk.)","015986738"
"Arcana Studio.","The wolfboy's wish","London","Raintree","2012.","9781406242317 (pbk.);1406242314 (pbk.)","015986739"
"Arkadia.","Thunderbirds :the ultimate pop-up fact book","London","Boxtree","1993.","1852838949","012028517"
"Art Studuim (Firm)","The Wizard Oz","London","Hodder and Stoughton","1978.","0340233575","010687586"
"Art Studuim (Firm)","Alice in Wonderland","London","Hodder and Stoughton","1978.","0340233583","010687587"
"Art Studuim (Firm)","The adventures of Pinocchio","London","Hodder and Stoughton","1978.","0340233591","010687588"
"Art Studuim (Firm)","Peter Pan","London","Hodder and Stoughton","1978.","0340233605","010687589"
"Arts & Humanities Research Council (Great Britain)","Concentrationary memoriespolitics of representation, 1945-1985 : international conference 23-25 March 2009, University of Leeds.","Leeds","CentreCATH","2009.","9780955334856;0955334853","015284282"
"Arts for the Earth.","Earth mirth","[London]","Kingswood","1986.","043498101X (pbk)","007374538"
"Ashmolean Museum.","Caricatures and watercolours.","","Ashmolean Museum","1987.","0907849830 (pbk)","007449161"
"Ashmolean Museum.","The Art of laughter :cartoonists' & collectors' choice","[Great Britain]","[Cartoon Art Trust in association with the Ashmolean Museum]","c1992.","1854440357 (pbk)","012044744"
"Ashmolean Museum.","Ruskin's drawings","Oxford","Ashmolean Museum","2010.","9781854441041 (hbk.);1854441043 (hbk.)","015645292"
"Associated Newspapers Group.","Jak :his life and work.","London","Solo published for Associated Newspapers","1997.","1873939108 (cased);1873939051 (pbk)","008827249"
"Association for Scottish Literary Studies.","The first men on Mercury :from a poem by Edwin Morgan","Glasgow","Association for Scottish Literary Studies","c2009.","","015452292"
