"Topic-organisations","Subject Classification","Title","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"Amnesty International.","741.59","Drawing blood :cartoons for Amnesty International","London","Grub Street","c1994.","1898697108","008837915"
"Ashmolean Museum / Catalogs.","741.5941","Ruskin's drawings","Oxford","Ashmolean Museum","2010.","9781854441041 (hbk.);1854441043 (hbk.)","015645292"
"Aston Villa (Soccer team) / Comic books, strips, etc.","741.5","JV life.","Derby","Comic Football","","","015768820"
"Aston Villa (Soccer team) / Juvenile literature.","741.5","JV life.","Derby","Comic Football","","","015768820"
"British Museum / Comic books, strips, etc. / Fiction.","741.5952","Professor Munakata's British Museum adventure","London","British Museum Press","2011.","9780714124650 (pbk.);0714124656 (pbk.)","015720336"
"Catholic Church / Caricatures and cartoons.","741.5942","Rolling in the aisles :cartoons on an ecclesiastical theme","Great Wakering","Mayhew-McCrimmon","1975.","085597088X (sd)","009458705"
"Catholic Church / Caricatures and cartoons.","741.5942","Faith hope & parity :more cartoons on an ecclesiastical theme","Great Wakering","Mayhew-McCrimmon","1977.","0855972424 (sd)","009458733"
"Catholic Church / Caricatures and cartoons.","741.5942","Cracks in the clouds","Chulmleigh","Augustine","1976.","0851727506 (pbk)","008789244"
"Catholic Church / Clergy / Caricatures and cartoons.","741.5942","Heavens above! :cartoons","Great Wakering","Mayhew-McCrimmon","1976.","0855971045 (sd)","009458711"
"Catholic Church / Comic books, strips, etc. / Fiction.","741.5944","The Scorpion.","Canterbury","Cinebook","2009.","9781905460908 (pbk.);1905460902 (pbk.)","014909853"
"Catholic Church / History / Comic books, strips, etc. / Fiction.","741.5","The devil's mark","Canterbury","Cinebook","2008.","9781905460625 (pbk.);1905460627 (pbk.)","014615266"
"Church of England / Caricatures and cartoons.","741.53382303","The exciting world of churchgoing","London","Canterbury Press Norwich","2010.","9781848250291 (pbk.)","015660823"
"DC Comics, Inc.","741.5973","Vertigo visons :artwork from the cutting edge of comics","London","Titan","2000.","1840231823","010761618"
"DC Comics, Inc.","741.59","DC comics :a celebration of the world's favourite comic book heroes","London","Virgin Books","2004.","0753509059 (pbk.)","006940494"
"DC Comics, Inc.","741.5973","Mythology :the DC Comics art of Alex Ross","London","Titan","2005.","1840239417 (pbk.)","013297085"
"DC Comics, Inc.","741.5973","The sandman :king of dreams","London","Titan","2003.","1840236531","010761853"
"DC Comics, Inc.","741.509","DC comics :a celebration of the world's favorite comic book heroes","London","Titan","2003.","1840237538 (pbk.)","010761890"
"DC Comics, Inc.","741.5973","DC comics :sixty years of the world's favourite comic book heroes","London","Virgin Books","1995.","1852275464","011406629"
"DC Comics, Inc. / Encyclopedias.","741.597303","The Vertigo encyclopedia","London","Dorling Kindersley","2008.","9781405328906 (cased);1405328908 (cased)","014633542"
"DC Comics, Inc. / History.","741.569","DC Comics :year by year, a visual chronicle","London","Dorling Kindersley","2010.","9781405350808 (hbk.);1405350806 (hbk.)","015578370"
"Disney Channel (Firm) / Periodicals / Juvenile literature.","741.5","Disney Channel.","Exeter","Pedigree","2004-","","013121220"
"Eagle Society (Great Britain) / Periodicals.","741.5941","Eagle times :the quarterly journal of the Eagle Society.","Duston","Eagle Society","1987-","","007252145"
"Facebook (Firm) / Caricatures and cartoons.","741.5941","The Facebook addict's survival guide","Stroud","Silent but Deadly","2011.","9780956239839 (pbk.);0956239838 (pbk.)","015739037"
"Great Britain. / Army / Caricatures and cartoons.","741.56941","Giles's fighting forces","London","Express Newspapers","2008.","9780850793598 (hbk.);0850793599 (hbk.)","014697245"
"Great Britain. / Army / Caricatures and cartoons.","741.5942","Cog in the war machine","Liss","Starfish","c1985.","090584730X (pbk)","007434582"
"Great Britain. / Army / Commando troops / Comic books, strips, etc.","741.5941","Marching to glory :six of the best Commando army comic books ever!","","","","9781853758966 (paperback)","016325558"
"Great Britain. / Army / Commando troops / Comic books, strips, etc.","741.5942","All guns blazing! :the 12 most action-packed Commando comic books ever!","London","Carlton","2007.","9781844422845 (pbk.);1844422844 (pbk.)","013709509"
"Great Britain. / Army / Commando troops / Comic books, strips, etc. / Fiction.","741.5942","Bandits at 12 o'clock :the 12 best air-combat commando books ever!","London","Carlton","2008.","9781847321282 (pbk.);1847321283 (pbk.)","014633957"
"Great Britain. / Army / Commando troops / Comic books, strips, etc. / Fiction.","741.5941","Commando :high explosive","London","Carlton","2010.","9781847327031 (hbk.);1847327036 (hbk.)","015578698"
"Great Britain. / Army / Commando troops / Comic books, strips, etc. / Fiction.","741.5942","Rumble in the jungle :the 12 best jungle-fighting commando comic books ever!","London","Carlton","2008.","9781844420025 (pbk.);1844420027 (pbk.)","014514253"
"Great Britain. / Army. / Suffolk Yeomanry Cavalry / Caricatures and cartoons.","741.5942","Yeoman service :contemporary cartoons of the Suffolk Yeomanry Cavalry 1870-1910","Tunbridge Wells","Spellmount","1985.","0946771782 (Limited ed.);0946771677","008135198"
"Great Britain. / Export Credits Guarantee Department / Caricatures and cartoons.","741.5942","Drawing ECGD, 1973-2006 :a risky business","Leicester","Matador","c2006.","1905886284;9781905886289","013669718"
"Great Britain. / MI5 / Comic books, strips, etc. / Juvenile fiction.","741.5","The Francis Blake affair","Ashford","Cinebook","2008.","9781905460632 (pbk.);1905460635 (pbk.)","014634138"
