"Topic-people","Subject Classification","Title","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"Abou Hamad, Nabil.","741.5941","Face facts","London","Cygnus","1986.","0948811005 (pbk)","008808740"
"Adam / (Biblical figure) / Caricatures and cartoons.","741.5","Paradise is lost","Claremont ; [Great Britain]","Spearhead","2001.","086486485X (pbk.)","010355620"
"Adams, Neal / 1941-","741.56973","DC universe","London","Titan","2008.","9781845769918 (hbk.);1845769910 (hbk.)","014702766"
"Adams, Neal / 1941-","741.56973","DC universe.","London","Titan","2009.","9781848561601 (hbk.);1848561601 (hbk.)","015337681"
"Ali, Muhammad / 1942- / Comic books, strips, etc. / Fiction.","741.5","Superman vs Muhammad Ali","London","Titan","2011.","9780857680051 (hbk.);0857680056 (hbk.)","015659663"
"Ali, Muhammad / 1942- / Comic books, strips, etc. / Fiction.","741.5","Superman vs Muhammad Ali","London","Titan","2011.","9780857681058 (hbk.);0857681052 (hbk.)","015659672"
"Appleby, Steven.","741.5942","Steven Appleby's normal life.","London","Bloomsbury","2003.","0747561583 (pbk)","007716836"
"Arthur / King / Comic books, strips, etc.","741.5944","Chwedl Arthur :Cainc 1: Myrddin Wyllt ; Cainc 2 : cadlywydd y Brythoniaid.","Tresaith","Dalen","2007.","9780955136665 (pbk.)","014539553"
"Arthur / King / Comic books, strips, etc.","741.5944","Arthur the legend :Bk. 1: Myrddin: wild man of the woods ; Bk. 2 : Arthur: protector of Britain","Tresaith","Dalen","2009.","9781906587079 (pbk.);1906587078 (pbk.)","015104191"
"Arthur / King / Comic books, strips, etc.","741.5941","King Arthur and the knights of the Round Table","London","Walker","2010.","9781406318661 (pbk.);1406318663 (pbk.)","015556875"
"Arthur / King / Comic books, strips, etc. / Fiction.","741.5","Camelot 3000","London","Titan","2009.","9781845769710 (pbk.);1845769716 (pbk.)","014777917"
"Arthur / King / Comic books, strips, etc. / Fiction.","741.5","Arthur the legend","Tresaith","Dalen","2010.","9781906587178 (pbk.);1906587175 (pbk.)","015557573"
"Arthur / King / Comic books, strips, etc. / Fiction.","741.5942","Le morte d'Arthur :the legend of King Arthur and his Knights of the Round Table","London","SelfMadeHero","2011-","9781906838249 (v. 1 : pbk.);1906838240 (v. 1 : pbk.)","015669733"
"Arthur / King / Comic books, strips, etc. / Juvenile fiction.","741.5","King Arthur and the knights of the Round Table","Oxford","Raintree","2010.","9781406213508 (pbk.);1406213500 (pbk.)","015448477"
"Arthur / King / Comic books, strips, etc. / Juvenile fiction.","741.5","The magic sword :quest for Camelot","Stamford","Burghley","c1998.","0953364208","009487788"
"Arthur / King / Comic books, strips, etc. / Juvenile fiction.","741.5","Excalibur :the legend of King Arthur : a graphic novel","London","Walker","2011.","9781406321593 (pbk.);1406321591 (pbk.)","015589449"
"Arthur / King / Comic books, strips, etc. / Juvenile fiction.","741.5","Arthur and Lancelot :the fight for Camelot","London","Lerner","2009.","9780761343462 (pbk.);0761343466 (pbk.)","014889063"
"Arthur / King / Comic books, strips, etc. / Juvenile fiction.","741.5","King Arthur and the knights of the Round Table","[Oxford]","Raintree","2009.","9781406212488;1406212482","014915767"
"Arthur / King / Comic books, strips, etc. / Juvenile fiction.","741.5","King Arthur :Excalibur unsheathed","London","Lerner","2008.","9781580133227 (pbk.);1580133223 (pbk.)","014051910"
"Arthur / King / Comic books, strips, etc. / Juvenile fiction.","741.5941","Frank Bellamy's King Arthur and his knights :the complete adventure","London","Book Palace","2008.","9780955159640 (pbk.);0955159644 (pbk.)","015266763"
"Arthur / King / Juvenile fiction.","741.5","King Arthur and the knights of the Round Table","London","Walker","1996.","9780744537697 (hbk.);074453769X (hbk.)","015436351"
"Arthur / King / Juvenile fiction.","741.5941","King Arthur and the knights of the Round Table.","London","Walker","1997.","074454792X (pbk)","012310752"
"Bairnsfather, Bruce / 1887-1959.","741.5942","In search of the better 'ole :the life, the works and the collectables of Bruce Bairnsfather","","","Milestone,","0903852659","012677991"
"Bairnsfather, Bruce / 1887-1959.","741.5942","In search of the better 'ole :the life, the works and the collectables of Bruce Bairnsfather","","","c1985.","0903852659","012677991"
"Bairnsfather, Bruce.","741.5092","In search of the better 'ole :a biography of Captain Bruce Bairnsfather including a listing of his works and collectables","London","Leo Cooper","2001.","0850527643","008114227"
"Barsotti, C. / (Charles) / Interviews.","741.5973","The essential Charles Barsotti","New York ; [Great Britain]","Workman Pub.","c1998.","0761109528 (pbk.)","011359272"
"Bartoll, Jean-Claude / Translations into English.","741.5944","Chechen guerilla","Ashford","Cinebook","2009.","9781905460960 (pbk.);1905460961 (pbk.)","015109841"
"Bascombe, Emma / Caricatures and cartoons.","741.535273","Emma's incarceration :you know you've been stuck upstairs too long when - : the story of imprisonment-by-stairlift-that's-busted","Burton in Kendal","2QT Ltd. (Pub.)","2011.","9781908098207 (pbk.)","015824406"
"Bateman, H. M. / 1887-1970.","741.5942","Bateman.","London","Prion","2001.","1853754587","011021605"
"Bateman, H. M. / 1887-1970.","741.5942","The man who was H.M. Bateman","Exeter","Webb & Bower","1982.","0906671574","007440527"
"Baxendale, Leo / Correspondence.","741.5092","Hobgoblin wars :dispatches from the front","Stroud","Reaper Books","c2009.","095132778X (hbk.)","015498264"
"Baxendale, Leo / Diaries.","741.5092","Hobgoblin wars :dispatches from the front","Stroud","Reaper Books","c2009.","095132778X (hbk.)","015498264"
"Baxendale, Leo / Humor.","741.5092","Pictures in the mind","Stroud","Reaper","c2000.","0951327755","009469598"
"Baxendale, Leo.","741.5942","The worst of Willy the Kid","Stroud","Reaper","2002.","0951327763","009469599"
"Baxendale, Leo.","741.5092","The Beano room","Stroud","Reaper Books","2005.","0951327771 (cased)","013217358"
"Bá, Gabriel / Translations into English.","741.5981","Daytripper","London","Titan ","c2011.","9780857682376 (Titan : pbk.);0857682377 (Titan : pbk.);9781401229696 (DC Comics : pbk.)","015690819"
"Bá, Gabriel / Translations into English.","741.5981","Daytripper","New York","DC Comics","c2011.","9780857682376 (Titan : pbk.);0857682377 (Titan : pbk.);9781401229696 (DC Comics : pbk.)","015690819"
"Beaton, Kate / 1983-","741.5971","Hark! A vagrant","London","Jonathan Cape","2011.","9780224094146 (pbk.);0224094149 (pbk.)","015850947"
"Bechdel, Alison / 1960- / Childhood and youth / Comic books, strips, etc. / Fiction.","741.5","Fun home :a family tragicomic","London","Jonathan Cape","2006.","9780224080514 (pbk.);0224080512 (pbk.)","013494588"
"Bechdel, Alison / 1960- / Comic books, strips, etc.","741.5973","Are you my mother? :a comic drama","London","Jonathan Cape","2012.","9780224093521;0224093525","016019449"
"Bechdel, Alison.","741.5973","The indelible Alison Bechdel :confessions, comix, & miscellaneous dykes to watch out for.","[S.l.]","Firebrand","1998.","1563410966 (pbk)","011630990"
"Beerbohm, Max / Sir / 1872-1956 / Themes, motives.","741.5942","Max Beerbohm caricatures/","New Haven, Conn.; London:","Yale University Press","1997.","0300072171","009392612"
"Beerbohm, Max / Sir / 1872-1956.","741.5942","Beerbohm's literary caricatures :from Homer to Huxley","London","Allen Lane","1977.","0713910666","008082605"
"Beerbohm, Max / Sir / 1872-1956.","741.5942","Rossetti and his circle","New Haven ; London","Yale University Press","1987.","0300039867","009391134"
"Bentley, Nicolas / 1907-1978.","741.5942","Bentley.","London","Prion","2001.","1853754595","011021606"
"Bestall, Alfred / Illustrations.","741.592","Alfred Bestall's Punch & Tatler drawings & paintings","[Great Britain","Caroline G. Bott?]","2010","","015621845"
"Bestall, Alfred.","741.5942","Rupert :a bear's life","London","Pavilion","1995, c1985.","1857937368 (pbk)","012708116"
"Bestall, Alfred.","741.5942","Rupert :a bear's life","London","Pavilion","1985.","0907516769","007446207"
"Blair, Tony / 1953- / Caricatures and cartoons.","741.5942","Chairman Blair's little red book","London","Methuen","2001.","0413760006 (pbk.)","011964614"
"Bobbin, Tim / 1708-1786.","741.5942","Human passions delineated :an exploration of the work of Tim Bobbin by Diana Donald & Brian Maidment.","Oxford","Hanborough Parrot","1990.","","012472645"
"Bolland, Brian.","741.5941","Brian Bolland cover to cover","London","Titan","2011.","9780857684721 (hbk.);0857684728 (hbk.)","015846493"
"Booth, George / 1926- / Interviews.","741.5973","The essential George Booth","New York ; [Great Britain]","Workman Pub. Co","c1998.","0761112510 (pbk..)","011359274"
"Borden, Abby Durfee Gray / 1828-1892 / Pictorial works / Fiction.","741.59","The Borden tragedy :a memoir of the infamous double murder at Fall River, Mass., 1892","New York ; [Great Britain]","NBM","c1997.","1561631892 (pbk.)","010137828"
"Borden, Andrew Jackson / 1822-1892 / Pictorial works / Fiction.","741.59","The Borden tragedy :a memoir of the infamous double murder at Fall River, Mass., 1892","New York ; [Great Britain]","NBM","c1997.","1561631892 (pbk.)","010137828"
"Borden, Lizzie / 1860-1927 / Pictorial works / Fiction.","741.59","The Borden tragedy :a memoir of the infamous double murder at Fall River, Mass., 1892","New York ; [Great Britain]","NBM","c1997.","1561631892 (pbk.)","010137828"
