"Topic-place","Subject Classification","Title","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"Afghanistan / Social conditions / 20th century / Comic books, strips, etc. / Fiction.","741.5","The kite runner :the graphic novel","London","Bloomsbury","2011.","9781408815250 (pbk.);1408815257 (pbk.)","015794775"
"Africa / Discovery and exploration / Comic books, strips, etc. / Fiction.","741.5942","Heart of darkness","London","SelfMadeHero","2010.","9781906838096 (pbk.);1906838097 (pbk.)","015523313"
"Africa / Fiction.","741.5973","Tarzan of the apes","Feltham","Hamlyn","1973.","0600386899","009940555"
"Africa / Politics and government / 1960- / Caricatures and cartoons.","741.596","Tayo thro' the years :editorial cartoons","London","Folta","c2000.","0953935701 (pbk.)","010124664"
"Amazon Valley / Juvenile literature.","741.5942","Lost in the Amazon :with Nick Raven...and his back up team from SATAN","[London]","Macdonald Educational","1979.","0356065413 (sd)","011324002"
"Amazon Valley / Juvenile literature.","981.106","Lost in the Amazon :with Nick Raven...and his back up team from SATAN","[London]","Macdonald Educational","1979.","0356065413 (sd)","011324002"
"America / Discovery and exploration / Comic books, strips, etc. / Juvenile fiction.","741.5973","The princess and the frog ;Pocahontas.","Tunbridge Wells","Panini","c2009.","9781846531170 (pbk.);1846531179 (pbk.)","015474179"
"Antarctica / Description and travel / Comic books, strips, etc. / Juvenile fiction.","741.5","Rescue in Antarctica :an Isabel Soto geography adventure","Oxford","Raintree","2010.","9781406214437;1406214434","015433362"
"Arctic regions / Juvenile literature.","622.3382","Death in the Arctic :with Nick Raven ... and his back-up team from SATAN","[London]","Macdonald Educational","1979.","035606543X (sd)","011324004"
"Arctic regions / Juvenile literature.","741.5942","Death in the Arctic :with Nick Raven ... and his back-up team from SATAN","[London]","Macdonald Educational","1979.","035606543X (sd)","011324004"
"Arctic regions / Juvenile literature.","998","Death in the Arctic :with Nick Raven ... and his back-up team from SATAN","[London]","Macdonald Educational","1979.","035606543X (sd)","011324004"
"Athens (Greece) / Comic books, strips, etc. / Fiction.","741.5","A midsummer night's dream","London","Self Made Hero","2008.","9780955285646 (pbk.);095528564X (pbk.)","014235557"
"Atlantis / Discovery and exploration / Comic books, strips, etc. / Juvenile fiction.","741.5973","Disney's Atlantis :the lost empire.","London","Egmont Children's","2001.","0749746173 (pbk)","006907919"
"Australia / Comic books, strips, etc. / Juvenile fiction.","741.59493","Spirou in New York","Canterbury","Cinebook","2010.","9781849180542 (pbk.);1849180547 (pbk.)","015573104"
"Australia / Comic books, strips, etc. / Juvenile fiction.","741.59493","Adventure down under","Canterbury","Cinebook","2009.","9781849180115 (pbk.);1849180113 (pbk.)","015308250"
"Bangkok (Thailand) / Social life and customs / Comic books, strips, etc. / Fiction.","741.5","Tokyo days, Bangkok nights","London","Titan","2009.","9781848561502 (pbk.);1848561504 (pbk.)","014864695"
"Beirut (Lebanon) / Social conditions / 20th century / Comic books, strips, etc. / Fiction.","741.5","Bye bye Babylon :Beirut 1975-1979","London","Jonathan Cape","2011.","9780224096195 (pbk.);0224096192 (pbk.)","015855460"
"Belfast (Northern Ireland) / Comic books, strips, etc. / Periodicals.","741.59416705","Small axe.","Belfast","Small Axe","2005-2006.","","013189213"
"Bosnia and Hercegovina / History / 1992- / Comic books, strips, etc.","741.5973","Safe area Goražde ","Seattle, Wash.","Fantagraphics ","2000.","1560973927","010137286"
"Bosnia and Hercegovina / History / 1992- / Comic books, strips, etc.","741.5973","Safe area Goražde ","[London","Turnaround] [distributor]","2000.","1560973927","010137286"
"Boulder (Colo.) / Comic books, strips, etc. / Fiction.","741.59493","The Irish version","","","","9781849181457 (pbk.);1849181454 (pbk.)","016143694"
"Boulder (Colo.) / Comic books, strips, etc. / Fiction.","741.59493","The last round","","","","9781849181518 (paperback)","016182756"
"Bradford (England) / Comic books, strips, etc. / Fiction.","741.5","Vimanarama","[London","Titan]","c2005.","1401204961 (pbk : DC Comics);184576207X (pbk : Titan)","013327013"
"Brazil / Social life and customs / Comic books, strips, etc. / Fiction.","741.5981","Daytripper","London","Titan ","c2011.","9780857682376 (Titan : pbk.);0857682377 (Titan : pbk.);9781401229696 (DC Comics : pbk.)","015690819"
"Brazil / Social life and customs / Comic books, strips, etc. / Fiction.","741.5981","Daytripper","New York","DC Comics","c2011.","9780857682376 (Titan : pbk.);0857682377 (Titan : pbk.);9781401229696 (DC Comics : pbk.)","015690819"
"Brighton (England) / History / Comic books, strips, etc. / Fiction.","741.5941","Brighton :the graphic novel","","","","9780904733921 (pbk.)","016467680"
"Brighton (England) / Social life and customs / Comic books, strips, etc. / Fiction.","741.5941","Brighton :the graphic novel","","","","9780904733921 (pbk.)","016467680"
"Canada / English-French relations / Caricatures and cartoons.","741.5971","Behind the jester's mask :Canadian editorial cartoons abart dominant and MINORITY GROUPS, 1960-1979","Toronto ; London","University of Toronto Press","c1989.","080205806X","012002643"
"Canada / Politics and government / 1945-1980 / Caricatures and cartoons.","741.5971","Behind the jester's mask :Canadian editorial cartoons abart dominant and MINORITY GROUPS, 1960-1979","Toronto ; London","University of Toronto Press","c1989.","080205806X","012002643"
"Chicago (Ill.) / Comic books, strips, etc. / Fiction.","741.5942","Violent cases","London","Titan","1998.","1852869593 (pbk)","012029411"
"China / Comic books, strips, etc. / Fiction.","741.5973","Kung fu masters","London","Lerner","2010.","9780761354055 (pbk.);0761354050 (pbk.)","015515836"
"China / Comic books, strips, etc. / Juvenile fiction.","741.5","The blue lotus","","","","9781405267007 (paperback)","016256819"
"China / Comic books, strips, etc. / Juvenile fiction.","741.5","The blue lotus","London","Egmont","2008.","9781405240703 (hbk.);1405240709 (hbk.)","014543019"
"Coney Island (New York, N.Y.) / Comic books, strips, etc. / Fiction.","741.5","Luna Park","London","Titan","2011.","9781848565180 (pbk.);1848565186 (pbk.)","015691327"
"Congo (Brazzaville) / Comic books, strips, etc. / Juvenile fiction.","741.5","Tintin in the Congo.","London","Egmont","2005.","1405220988","013225863"
"Cornwall (England : County) / Comic books, strips, etc. / Juvenile fiction.","741.5942","Cornish legend and folklore","Cathair na Mart, Co. Mhaigh Eo","Evertype","2011.","9781904808732 (pbk.);1904808735 (pbk.)","015965391"
"Cornwall (England : County) / Comic books, strips, etc. / Juvenile fiction.","741.5942","Whedhlow ha drollys a gernow goth","Cathair na Mart, Co. Mhaigh Eo","Evertype","2011.","9781904808749 (pbk.);1904808743 (pbk.)","015965392"
"Côte d'Ivoire / Social life and customs / Comic books, strips, etc. / Fiction.","741.5","Aya of Yop City","London","Jonathan Cape","2009.","9780224087476 (hbk.);0224087479 (hbk.)","014765276"
"Côte d'Ivoire / Social life and customs / Comic books, strips, etc. / Fiction.","741.5","Aya","London","Jonathan Cape","2007.","9780224081849 (hbk.);0224081845 (hbk.)","013735613"
"Cuba / History / Revolution, 1959 / Comic books, strips, etc. / Fiction.","741.5","Cuba :my revolution","London","Titan","2010.","9780857680280 (hbk.);0857680285 (hbk.)","015606079"
"Denmark / Kings and rulers / Comic books, strips, etc. / Juvenile fiction.","741.5","Hamlet :Prince of Denmark","Brighton","Book House","2009.","9781906370107 (pbk.);1906370109 (pbk.)","014853240"
"Denmark / Kings and rulers / Comic books, strips, etc. / Juvenile fiction.","741.5942","Hamlet","London","SelfMadeHero","2007.","9780955285615 (pbk.);0955285615 (pbk.)","013567866"
"Diss (England) / Caricatures and cartoons.","741.5942","Mere quacks","Diss","Diss Express","2007.","9781845471675 (pbk.);1845471679 (pbk.)","013773484"
"Dublin (Ireland) / Pictorial works.","741.59417","For your enjoycement : the removal of Paddy Dignam :loosely based on episode six of Ulysses","Dublin","Fingal County Libraries","2004.","9780952665274 (pbk.);0952665271 (pbk.)","013129592"
"Edinburgh (Scotland) / Comic books, strips, etc. / Fiction.","741.5973","The dogs of Edinburgh","New York, N.Y.","DC Comics ","2012.","9781781164082 (pbk.);1781164088 (pbk.)","016099525"
"Edinburgh (Scotland) / Comic books, strips, etc. / Fiction.","741.5973","The dogs of Edinburgh","[London]","Titan [distributor]","2012.","9781781164082 (pbk.);1781164088 (pbk.)","016099525"
"Edinburgh (Scotland) / Comic books, strips, etc. / Fiction.","741.5946","Jean Baptiste Baigorri's Cramond Island","London","Nobrow","c2012.","9781907704284 (pbk.);1907704280 (pbk.)","015952513"
"Edinburgh (Scotland) / History / 19th century / Comic books, strips, etc. / Fiction.","741.5","Burke and Hare","Dundee","Insomnia","2009.","9781905808120 (pbk.);1905808127 (pbk.)","015474747"
"Egypt / Antiquities / Comic books, strips, etc. / Juvenile fiction.","741.5","Uncovering mummies :an Isabel Soto history adventure","Oxford","Raintree","2010.","9781406214444 (hbk.);1406214442 (hbk.)","015433363"
"Egypt / Civilization / Juvenile literature.","741.5942","Mystery of the pharaoh :with Nick Raven ... and his back-up team from SATAN","[London]","Macdonald Educational","1979.","0356065421 (sd)","011324003"
"Egypt / Civilization / Juvenile literature.","932","Mystery of the pharaoh :with Nick Raven ... and his back-up team from SATAN","[London]","Macdonald Educational","1979.","0356065421 (sd)","011324003"
"Egypt / Comic books, strips, etc. / Juvenile fiction.","741.5","Cigars of the pharaoh","","","","9781405267021 (paperback)","016256821"
"Egypt / Comic books, strips, etc. / Juvenile fiction.","741.5","Cigars of the pharaoh","London","Egmont","2008.","9781405240710 (hbk.);1405240717 (hbk.)","014543020"
"Egypt / History / Nineteenth dynasty, ca. 1320-1200 B.C. / Comic books, strips, etc. / Juvenile fiction.","741.5","Imhotep's transformation","Canterbury","Cinebook","2008.","9781905460502 (pbk.);1905460503 (pbk.)","014493955"
"Egypt / History / Nineteenth dynasty, ca. 1320-1200 B.C. / Comic books, strips, etc. / Juvenile fiction.","741.59493","The evil mummies","Canterbury","Cinebook","2010.","9781849180276 (pbk.);184918027X (pbk.)","015449044"
"Egypt / History / Nineteenth dynasty, ca. 1320-1200 B.C. / Comic books, strips, etc. / Juvenile fiction.","741.5","Papyrus :the Rameses' revenge","Ashford","Cinebook","2007.","9781905460359 (pbk.);190546035X (pbk.)","013811699"
