"Topic-All","Title","Subject Classification","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"(Charles Monroe)","Charlie Brown, Snoopy and me :and all the other Peanuts characters","741.5973","London","W.H. Allen","1981.","0491026455","008743239"
"(Henry Mayo)","The man who was H.M. Bateman","741.5942","Exeter","Webb & Bower","1982.","0906671574","007440527"
"1620-1982","English caricature :1620 to the present : caricaturists and satirists, their art, their purpose and influence.","741.5942","London","Victoria and Albert Museum","1984.","0905209958 (pbk)","012686628"
"1732-1983","Musical delights :a cavalcade of cartoon and caricature","741.59","London","Thames and Hudson","c1984.","0500013438","008744140"
"1744-1980","Masters of caricature :from Hogarth and Gillray to Scarfe and Levine","741.5909033","London","Weidenfeld and Nicolson","1981.","0297779044","008739964"
"1747-1975","The ungentlemanly art :a history of American political cartoons","741.5973","New York","Macmillan ","1975.","","010547249"
"1747-1975","The ungentlemanly art :a history of American political cartoons","741.5973","London","Collier Macmillan","1975.","","010547249"
"1782-1830","Boney, ou, Napoleon vu par les Anglais","741.5942","[Exeter]","Devon Library Services","c1985.","0861145550 (pbk)","010116509"
"1800-1900","A human comedy :physiognomy and caricature in 19th century Paris","741.5944","London","Thames and Hudson","c1982.","0500012687","008744080"
"1800-1900","A human comedy :physiognomy and caricature in 19th century Paris","842.809353","London","Thames and Hudson","c1982.","0500012687","008744080"
"1837-1901","Victorian comics","741.5941","London","Allen and Unwin","1976.","0047410027","010022120"
"1837-1977","The fishing cartoon book","741.5942","Newton Abbot","David and Charles","1977.","071537396X","008089283"
"1841-1901","Great drawings and illustrations from Punch 1841-1901 :192 works by Leech, Keene, du Maurier, May and 21 others","741.5942","New York","Dover Publications ","1981.","0486241106 (pbk)","008077610"
"1841-1901","Great drawings and illustrations from Punch 1841-1901 :192 works by Leech, Keene, du Maurier, May and 21 others","741.5942","London","Constable","1981.","0486241106 (pbk)","008077610"
"1841-1901","Humorous Victorian spot illustrations","741.5942","New York","Dover ","1985.","0486248968 (pbk)","008077903"
"1841-1901","Humorous Victorian spot illustrations","741.5942","London","Constable","1985.","0486248968 (pbk)","008077903"
"1843-1975","Galloping through 'Punch'","741.5942","Newton Abbot","David and Charles","1976.","0715371983","008089153"
"1845-1865","'Punch' on children :a panorama, 1845-1865","741.5942","London","Muller","1975.","0584102305","010704679"
"1856-1900","The genius of Wilhelm Busch :comedy of frustration : an English anthology","741.5943","Berkeley, [Calif.] ; London","University of California Press","c1982.","0520038975","008748575"
"1856-1900","The genius of Wilhelm Busch :comedy of frustration : an English anthology","831.8","Berkeley, [Calif.] ; London","University of California Press","c1982.","0520038975","008748575"
"1860-1970","Latin America in caricature","741.5973","Austin ; London","University of Texas Press","c1980.","0292746261","008738391"
"1872-1956","Beerbohm's literary caricatures :from Homer to Huxley","741.5942","London","Allen Lane","1977.","0713910666","008082605"
"1872-1956","Rossetti and his circle","741.5942","New Haven ; London","Yale University Press","1987.","0300039867","009391134"
"1873-1960","Cartoonist at war","741.5942","London","Book Club Associates","1981.","","010554587"
"1874-1974","Happy days :a century of comics","741.5941","London","Jupiter Books","1975.","0904041336","012679174"
"1887-1970","The man who was H.M. Bateman","741.5942","Exeter","Webb & Bower","1982.","0906671574","007440527"
"1890-1977","The art of the comic strip","741.5973","New York","Macmillan ","1979.","002736500X","009382296"
"1890-1977","The art of the comic strip","741.5973","London","Collier Macmillan","1979.","002736500X","009382296"
"1892-","Rupert :a bear's life","741.5942","London","Pavilion","1985.","0907516769","007446207"
"1900-1976","The cartoon connection :the art of pictorial humour","741.50904","London","Elm Tree Books","1977.","0241894832","008045567"
"1901-1966","Donald Duck","741.5973","London","New English Library","1980.","0450046397;0450044653","007388258"
"1901-1966","Walt Disney's Donald Duck :50 years of happy frustration","741.5973","London","Ebury","c1985.","0852234481 (pbk)","008792650"
"1901-1966","Walt Disney's Mickey Mouse memorabilia :the vintage years, 1928-1938","741.5973","London","Octopus","1986.","0810914395;0706428404","012630274"
"1904-","The comic art of Reg Parlett :60 years of comics!","741.5942","Tunbridge Wells","Golden Fun","1986.","0951121405 (pbk)","008820349"
