"Topic-general","Subject Classification","Title","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"ABC Warriors (Fictitious characters) / Comic books, strips, etc.","741.5941","ABC Warriors.","Oxford","Rebellion","2011.","9781907519925 (pbk.);1907519920 (pbk.)","015956453"
"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.","741.5","Return to Earth","","","","9781781081440 (hbk.)","016300187"
"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.","741.5941","The mek files.","","","","9781781082584 (hbk.)","016644601"
"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.","741.5","The volgan war.","Oxford","2000 AD","2011.","9781907992650 (pbk.);1907992650 (pbk.)","015800080"
"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.","741.5941","The solo missions","","","","9781781082263 (pbk.)","016559639"
"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.","741.5","The volgan war.","Oxford","Rebellion","2011.","9781907992667 (pbk.);1907992669 (pbk.)","015800081"
"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.","741.5","The Volgan war.","Oxford","2000 AD","2011.","9781907992193 (hbk.);1907992197 (hbk.)","015776823"
"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.","741.5","The volgan war :volume 3","","","","9781781081402 (pbk.)","016295135"
"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.","741.5941","ABC Warriors.","Oxford","Rebellion","2009-2011.","9781906735029 (v. 01 : cased);1906735026 (v. 01 : cased);9781907992650 (v. 01 : pbk.);1907992650 (v. 01 : pbk.);9781906735234 (v. 02 : cased);1906735239 (v. 02 : cased);9781907992667 (v. 02 : pbk.);1907992669 (v. 02 : pbk.);9781906735456 (v. 03 : cased);190673545X (v. 03 : cased);9781907992193 (v. 04 : cased);1907992197 (v. 04 : cased)","015117697"
"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.","741.5941","The third element","Oxford","Rebellion","2008.","9781905437801 (pbk.);1905437803 (pbk.)","014675187"
"Abduction / Pictorial works / Fiction.","741.5","The secret","London","Faber","2002.","0571206883 (pbk.)","012266817"
"Abduction / Pictorial works / Fiction.","741.59438","The secret","London","Faber","2001.","0571206883 (pbk)","011018265"
"Abduction / Pictorial works / Fiction.","741.5","The secret","London","Faber","2002.","0571206883 (pbk.)","010072103"
"Abused children / Comic books, strips, etc. / Fiction.","741.5942","The tale of one bad rat","London","Jonathan Cape","2008.","9780224084703 (hbk.);0224084704 (hbk.)","014606770"
"Acrophobia / Comic books, strips, etc. / Juvenile fiction.","741.5942","The horror of the heights","London","A. & C. Black","2000.","0713652543","008080631"
"Acrophobia / Comic books, strips, etc. / Juvenile fiction.","741.5942","The horror of the heights","London","A. & C. Black","2000","9780713686241 (pbk.);0713686243 (pbk.)","014500186"
"Action figures (Toys) / Comic books, strips, etc. / Periodicals.","741.5","Beyblade.","Oldham","Toontastic","[2003]-2004.","","007894960"
"Action figures (Toys) / Comic books, strips, etc. / Periodicals.","741.5","Beyblade special.","Oldham (Office Block One, Southlink Business Park, Southlink, Oldham OL4 1DE)","Toontastic","2003-","","007896748"
"Action figures (Toys) / Comic books, strips, etc. / Periodicals.","741.505","Beyblade grevolution.","Oldham","Toontastic","2005-","","014664497"
"Action figures (Toys) / Pictorial works / Juvenile fiction.","741.50941","Extreme sports adventures","London","Dorling Kindersley","2001.","0751320617","010728340"
"Action in art / Juvenile literature.","741.51","Drawing action in your graphic novel","","","","9781445110288 (pbk.);1445110288 (pbk.)","016045010"
"Actors / Great Britain / Caricatures and cartoons.","741.5942","Laugh lines :caricatures","London","Hodder & Stoughton","1989.","0340496010","010692485"
"Adolescence / Comic books, strips, etc.","741.56973","Sunny side down :a collection of tales of mere existence","London","Simon & Schuster","2009.","9781416591184 (pbk.);1416591184 (pbk.)","014926818"
"Adopted children / Comic books, strips, etc. / Fiction.","741.59493","The heir ;The Group W","Canterbury","Cinebook","2008.","9781905460489 (pbk.);1905460481 (pbk.)","014464717"
"Adopted children / Fiction.","741.59493","Latitude 59 degrees north","Canterbury","Cinebook","2010, c2009.","9781849180245 (pbk.);1849180245 (pbk.)","015415818"
"Adopted children / Fiction.","741.59493","Game of fools","Canterbury","Cinebook","2011.","9781849180962 (pbk.);1849180962 (pbk.)","015805014"
"Adulthood / Comic books, strips, etc.","741.594105","Booby trap.","Norwich","Bone House Books","2003-","","012903615"
"Adventure and adventurers / Comic books, strips, etc.","741.5942","The Cinderella principle","London","A. & C. Black","2000.","0713649976 (pbk)","007042031"
"Adventure and adventurers / Comic books, strips, etc.","741.5942","Winners and losers","London","A. & C. Black","2000.","0713650966 (pbk)","007042054"
"Adventure and adventurers / Comic books, strips, etc.","741.5942","Winners and losers","London","A. & C. Black","[1999]","0713650958","008080563"
"Adventure and adventurers / Comic books, strips, etc.","741.5942","The haunted surfboard","London","A. & C. Black","2000.","0713650982 (pbk)","007042055"
"Adventure and adventurers / Comic books, strips, etc.","741.5942","Guard dog","London","A. & C. Black","2000.","0713651148 (pbk)","007042061"
"Adventure and adventurers / Comic books, strips, etc.","741.595195","Maximum Ride","London","Arrow Books","2009-","9780099538363 (1 : pbk.);0099538369 (1 : pbk.);9780099538394 (2 : pbk.);0099538393 (2 : pbk.);9780099538424 (3 : pbk.);0099538423 (3 : pbk.);9780099538431 (4 : pbk.);0099538431 (4 : pbk.);9780099538448 (5 : pbk.);009953844X (5 : pbk.);9780099538455 (6 : pbk.);0099538458 (6 : pbk.);9780099538462 (7 : pbk.);0099538466 (7 : pbk.)","014787862"
"Adventure and adventurers / Fiction.","741.59493","Beyond the shadows","Canterbury","Cinebook","2008.","9781905460458 (pbk.);1905460457 (pbk.)","014200604"
"Adventure and adventurers / Fiction.","741.59493","The Castafiore emerald.","","Mammoth","1989.","0749701692 (pbk)","010715353"
"Adventure stories, American / Periodicals.","741.5973","Annual ... Indiana Jones and the ...","Exeter","Pedigree Books","","","015264856"
"Adventure stories, American.","741.5973","Tarzan :in the city of gold.","","","","9781781163177 (hbk.)","016644607"
"Adventure stories, American.","741.5973","Indiana Jones adventures.","London","Titan","c2008.","9781845768027;1845768027","014627429"
"Adventure stories, American.","741.5973","G.I. Joe. :the rise of Cobra : official movie prequel","Tunbridge Wells","Panini","2009.","9781846534263 (pbk.);1846534267 (pbk.)","015181868"
"Adventure stories, American.","741.5941","Adventures at sea","","","","9781908973191 (pbk.);1908973196 (pbk.)","016143778"
"Adventure stories, English.","741.5942","The best of Wallace & Gromit.","London","Titan","2009.","9781845763633 (hbk.);1845763637 (hbk.)","014864661"
"Adventure stories, English.","741.5941","Robin Hood :the complete adventures","London","Book Palace Books","c2008.","9780955159633 (pbk.);0955159636 (pbk.)","015266762"
"Adventure stories, English.","741.5941","Best of Land Battle","London","Titan","2010.","9781848567313 (pbk.);1848567316 (pbk.)","015495084"
